name;cooking_time;description;ingredients;categories
яблоки в карамели;20;В кастрюлю поместить воду и сахар, добавить пищевой краситель и варить до получения достаточно густой карамели. Проверить это можно, капнув немного в холодную воду — карамель должна застыть. Яблоки наткнуть на веточки или длинные шпажки и окунуть в карамель. Поставить на пергамент и украсить посыпкой или просто дать карамели застыть.;яблоко:5 шт.:False,сахар:500 гр.:False,вода:120 мл.:False,краситель пищевой:на выбор:True,посыпка:по желанию:True;сладкое,фрукты
сладкие паутинки;20;Соломку (лучше брать солёную для контраста вкусов) наломать на аккуратные половинки и сложить в виде снежинки на застеленном пергаментом противне или доске. Шоколад (горький или молочный — на ваш выбор) растопить на водяной бане и переложить в кондитерский мешок с узким носиком. Пока шоколад ещё жидкий выдавить его поверх соломки, образовывая узор-паутину. При желании добавить деталей зубочисткой. Украсить посыпкой и в центр паутины положить сахарные глазки. Отправить в холодильник до полного застывания, застывшие паутинки аккуратно снять с пергамента.;печенье-соломка:200 гр.:False,шоколад:100 гр.:False,посыпка:по желанию:True;сладкое
блинчики креп-сюзетт;30;Все ингредиенты для блинчиков смешать в одной миске и перемешать блендером, процедить. Сковороду, желательно с антипригарным покрытием, разогреть на среднем огне, добавить немного растительного масла. Небольшим половником налить блинное тесто на разогретую сковороду. Обжарить блин с двух сторон. Для удобства сложить блины треугольничком. Для соуса на холодную сковороду насыпать сахар и растапливать его на среднем огне. Как только сахар растопился, добавить сливочное масло, перемешать его с сахаром и влить половину сока. Перемешать ещё раз, чтобы карамель растворилась в соке, и добавить оставшуюся часть сока. Довести соус до кипения и уварить его до более густой консистенции. Добавить сегменты апельсина и блины. Прогреть в соусе, пока он не станет похожим на карамель. Выложить блинчики на любую любимую посуду и украсить сегментами апельсина, с которыми готовили, и ложкой сметаны.;молоко:200 мл.:False,яйцо:2 шт.:False,мука:75 г.:False,масло растительное:70 мл.:False,разрыхлитель:1 г.:True,соль:2 г.:False,вода:40 мл.:False,сахар:40 г.:False,масло сливочное:10 г.:False,сок апельсина:200 мл.:False,апельсин:40 г.:False,сметана:50 г.:False;сладкое,завтрак
мохито;10;Положить на дно стакана кусочки лайма и листья мяты. Слегка раздавить их пестиком или ложкой. Ваша задача — не сделать кашу, а лишь «вдавить» их друг в друга, чтобы выделился сок и эфирные масла. Если используете сахар, а не сироп, тоже кладите его на этом этапе. Добавить ром и наполнить стакан льдом на 80%. Перемешать все ингредиенты с помощью длинной ложки движениями снизу вверх. Наполнить бокал газированной водой так, чтобы до края стакана оставался 1 сантиметр. Если нужно, добавить ещё лёд.;мята:7-10 шт.:False,лайм:1 шт.:False,ром белый:50 мл.:True,сахар:2 ч.л.:False,вода:200 мл.:False;напиток
сырный суп из цветной капусты;30;В кастрюле разогреть растительное масло и обжарить измельчённые лук и чеснок с щепоткой соли до мягкости. Нарезать цветную капусту на соцветия и тонко нашинковать стебель. Добавить цветную капусту в кастрюлю вместе с тимьяном, залить молоком и бульоном. Оставить слабо кипеть 20 минут, пока капуста не станет мягкой. Добавить в суп оба вида тёртого сыра, перелить в чашу блендера и пробить до кремовости. Приправить по вкусу винным уксусом, вустерским соусом, солью и перцем. Растопить сливочное масло на сковороде до образования пены. Добавить тимьян, чеснок и порезанный кубиками хлеб. Обжарить до хрустящей румяной корочки. После добавить пармезан и перемешивать, пока сыр не покроет гренки. Подавать суп, посыпав гренками, свежемолотым перцем, сбрызнув оливковым маслом.;капуста цветная:1 шт.:False,молоко:500 мл.:False,бульон овощной:200 мл.:False,лук репчатый:1 шт.:False,чеснок:3 зуб.:False,тимьян:4 веточки:True,чеддер:150 г.:False,пармезан:30 г.:False,горчица дижонская:1 ч.л.:False,уксус винный:по вкусу:False,вустерский соус:по вкусу:False,масло растительное:для жарки:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,хлеб:2 шт.:False,масло сливочное:70 г.:False;суп,обед,овощи
цветаевский яблочный пирог;60;Сливочное масло натереть на тёрке и смешать с мукой (2 столовых ложки муки оставить). Добавить 100 г сметаны и соду, как следует перемешать. Тесто должно получиться мягкое и не прилипать к рукам. Яблоки очистить от кожуры, удалить сердцевину и с помощью картофелечистки нарезать на тонкие пластинки, похожие на лепестки. Раскатать тесто и придать ему форму той ёмкости, в которой будете выпекать пирог. Уложить на дно формы тесто, сверху разложить яблочные лепестки. В отдельной миске смешать остатки сметаны, яйцо, сахар и 2 столовые ложки муки и слегка взбить. Крем по консистенции должен получиться достаточно жидким. Залить в форму с тестом и яблоками. Выпекать в разогретой до 200 ℃ духовке 40–50 минут.;яблоко:1 кг.:False,мука:300 г.:False,сметана:300 г.:False,масло сливочное:150 г.:False,сахар:200 г.:False,сода:1/2 ч.л.:False,яйцо:1 шт.:False;сладкое,выпечка
жасминовый лимонад с клубникой;10;Залить заварку горячей водой. Дать настояться 5 минут, процедить и перелить в прозрачный графин. Добавить холодную воду и ягоды. Лимонад можно хранить в холодильнике до 48 часов.;чай с жасмином:3 ч.л.:False,вода:1.5 л.:False,клубника:5–7 шт.:False;напиток
лунное молоко;10;Классическое «лунное молоко» готовится с добавлением порошка ашваганды. Но если не заморачиваться, подойдут любые пряности. Например, можно замешать в блендере стакан тёплого молока и по чайной ложке куркумы и корицы, а в конце добавить ложку мёда.;ашваганда:по желанию:True,молоко:200 гр.:False,мёд:1 ч.л.:False,куркума:1 чл.л:True,корица:1 ч.л.:True;напиток
груша и рикотта;30;В сотейник налить воду, добавить специи, 3 ст.л. мёда, чай и сок половины лимона, довести до кипения и убавить огонь. Интенсивность цвета груш будет зависеть от количества заварки, так что тут всё на ваш вкус. Груши очистить от кожицы и целиком положить в чайную смесь. При необходимости добавить воды — это важно, чтобы они полностью были покрыты жидкостью. Варить на среднем огне 10–15 минут, затем его выключить и оставить груши остывать, не вынимая из чая. Впоследствии можно уварить оставшуюся после груш жидкость до консистенции сиропа и использовать для сервировки. В глубокую миску выложить рикотту, добавить оставшийся мёд и лимонную цедру (немного оставить для подачи), взбить погружным блендером до кремовости, слегка посолить. На дно тарелки выложить взбитую рикотту, сверху — груши, посыпать лимонной цедрой и свежим тимьяном. По желанию украсить дроблёным фундуком.;груша:4 шт.:False,рикотта:200 г.:False,мёд:4 ст.л.:False,лимон:1 шт.:False,специи:любые:True,тимьян:по вкусу:True,фундук:для подачи:True,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;перекус,закуска,фрукты
бургер с виски-глазурью и сырно-пивным соусом;30;Приготовить глазурь с виски. В небольшом сотейнике смешать все ингредиенты для глазури, довести до кипения и убавить огонь до слабого. Дать повариться примерно 5–7 минут, пока соус не загустеет, оставить на слабом огне до сервировки или убрать в холодильник и разогреть перед сборкой бургеров. Для котлет разделить мясо на четыре части. Каждую часть фарша расплющить ладонью и положить в середину кусочек сыра с плесенью, «запечатать» сыр мясом со всех сторон, чтобы получилась котлета. Разогреть сковороду-гриль на средне-сильном огне. Приправить котлеты солью и перцем и обжаривать по 4–5 минут с каждой стороны. Готовые котлеты накрыть фольгой. Приготовить сырный соус. Поставить на средний огонь сотейник и влить в него масло, как только оно запузырится, — всыпать муку. Постоянно помешивая, обжаривать муку 1–2 минуты, пока она не станет золотистой. Тонкой струйкой, помешивая, влить пиво и молоко и убавить огонь до слабого. Готовить, помешивая, пока соус слегка не загустеет. Всыпать сыр и перемешать до полного его растворения. Если получается слишком густо, добавить ещё молока. Готовый соус приправить солью и перцем. Собрать бургер. Прогреть каждую булочку на сухой сковороде, щедро положить на её основание глазурь, сверху сырный соус, затем котлету, добавить хрустящий лук/грибы/капусту или салат (что больше нравится), положить ещё сырного соуса, глазури и сверху вторую половину булочки.;кетчуп:60 г.:False,виски:60 мл.:False,соевый соус:2 ст.л.:False,мёд:2 ст.л.:False,горчица:1 ч.л.:False,вустерский соус:1 ч.л.:False,мука:4 ст.л.:False,масло сливочное:4 ст.л.:False,стаут:120 мл.:False,молоко:120 мл.:False,чеддер:240 г.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,булочки для бургеров:4 шт.:False,фарш говяжий:700 г.:False,сыр с голубой плесенью:120 г.:True;горячее,говядина,ужин,мясное
паприкаш из курицы по-венгерски;40;Венгерский паприкаш - разновидность традиционного блюда, "паприкаш" означает способ приготовления мясной подливы с большим количеством паприки и сметаной. Лук репчатый очистим и нарежем мелким кубиком. В кастрюле с толстым дном разогреем растительное масло. Добавим сладкую красную молотую паприку и затем выложим в кастрюлю лук. Обжариваем лук минуты 3-4, пока он не станет прозрачным. Куриное филе нарежем крупным кубиком. Добавим куриное филе в кастрюлю. Обжариваем его с луком минут 6-7, чтобы мясо подрумянилось слегка, не зажарилось! Добавим соль по вкусу. Теперь добавим в блюдо муку. Выложим сметану. Заливаем мясо водой или мясным бульоном. Бульон должен полностью покрыть мясо. Тушим содержимое кастрюли минут 7-8, пока соус не закипит. Помидор нарежем мелким кубиком. Перец болгарский очистим от семян и нарежем тонкой соломкой. Добавляем овощи в кастрюлю и готовим паприкаш на минимальном огне минут 20. Готовый венгерский паприкаш с курицей подаем порционно с отварными макаронными изделиями или с галушками.;курица(филе):1 шт.:False,перец сладкий:1 шт.:False,томат:1 шт.:False,лук репчатый:1 шт.:False,мука:1 ст.л.:False,сметана:1 ст.л.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,масло растительное:1 ст.л.:False;горячее,курица,ужин,обед
